YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 09 21 11 035 04.7 05.4 00.80 06.70 05.60 999 1018.7  08.0 999.0 999.0 99.0
85 09 21 12 024 05.5 06.2 00.90 06.70 05.60 999 1018.3  07.9 999.0 999.0 99.0
85 09 21 13 032 05.4 06.5 00.80 06.30 05.40 999 1018.0  07.9 999.0 999.0 99.0
85 09 21 14 045 04.5 05.5 00.90 06.70 05.40 999 1017.7  06.9 999.0 999.0 99.0
85 09 21 15 061 06.0 07.2 00.80 06.70 05.70 999 1017.3  07.5 999.0 999.0 99.0
85 09 21 16 064 06.2 08.0 00.90 06.30 05.30 999 1016.8  08.2 999.0 999.0 99.0
85 09 21 17 068 07.1 08.9 01.20 08.30 05.20 999 1016.1  08.3 999.0 999.0 99.0
85 09 21 18 059 06.9 08.9 01.40 07.70 05.30 999 1015.9  07.7 999.0 999.0 99.0
85 09 21 19 071 07.3 08.9 01.60 07.70 05.60 999 1015.7  07.6 999.0 999.0 99.0
85 09 21 20 049 08.4 10.1 01.60 07.70 05.80 999 1015.5  07.4 999.0 999.0 99.0
85 09 21 21 040 08.2 09.9 01.50 07.70 05.40 999 1015.3  07.4 999.0 999.0 99.0
85 09 21 22 039 06.5 08.1 01.50 07.70 05.20 999 1015.1  07.4 999.0 999.0 99.0
85 09 21 23 044 06.4 07.9 01.30 07.10 05.20 999 1014.5  07.6 999.0 999.0 99.0
85 09 22 00 044 07.1 08.8 01.40 07.10 05.30 999 1013.9  07.5 999.0 999.0 99.0
85 09 22 01 033 06.6 08.5 01.30 07.10 05.20 999 1013.5  07.2 999.0 999.0 99.0
85 09 22 02 042 07.0 08.6 01.40 06.70 05.40 999 1012.8  07.3 999.0 999.0 99.0
85 09 22 03 038 05.6 07.7 01.40 09.10 05.60 999 1012.5  06.8 999.0 999.0 99.0
85 09 22 04 045 07.1 09.4 01.60 09.10 05.70 999 1012.1  07.4 999.0 999.0 99.0
85 09 22 05 040 08.2 10.2 01.80 09.10 05.60 999 1011.6  07.2 999.0 999.0 99.0
85 09 22 06 021 07.8 10.0 01.70 08.30 05.80 999 1011.6  07.5 999.0 999.0 99.0
85 09 22 07 012 07.3 08.9 01.80 08.30 05.70 999 1011.5  07.3 999.0 999.0 99.0
85 09 22 10 043 07.9 09.8 01.60 08.30 05.60 999 1011.3  07.1 999.0 999.0 99.0
85 09 22 11 043 06.7 08.7 01.70 08.30 05.50 999 1011.2  06.9 999.0 999.0 99.0
85 09 22 12 021 06.8 08.5 01.60 07.70 05.70 999 1010.8  06.7 999.0 999.0 99.0
85 09 22 13 004 06.3 07.9 01.40 07.70 05.70 999 1010.5  06.8 999.0 999.0 99.0
85 09 22 14 019 07.2 08.9 01.60 08.30 05.90 999 1010.2  06.7 999.0 999.0 99.0
85 09 22 15 019 06.1 08.3 01.70 07.70 05.80 999 1010.2  06.9 999.0 999.0 99.0
85 09 22 16 020 06.7 08.3 01.70 07.70 05.80 999 1010.1  07.0 999.0 999.0 99.0
85 09 22 17 013 06.3 07.5 01.50 08.30 05.60 999 1010.2  06.9 999.0 999.0 99.0
85 09 22 18 005 06.5 08.1 01.60 07.10 05.60 999 1010.4  06.5 999.0 999.0 99.0
85 09 22 19 019 07.2 09.1 01.50 07.70 05.60 999 1010.3  07.0 999.0 999.0 99.0
85 09 22 20 008 06.4 07.8 01.40 07.70 05.60 999 1010.5  07.0 999.0 999.0 99.0
85 09 22 21 001 06.2 07.7 01.40 07.70 05.50 999 1010.8  07.0 999.0 999.0 99.0
85 09 22 22 001 06.3 07.9 01.50 07.70 05.50 999 1011.0  07.1 999.0 999.0 99.0
85 09 22 23 013 05.4 06.5 01.50 07.70 05.60 999 1011.1  07.2 999.0 999.0 99.0
85 09 23 00 359 05.4 07.0 01.50 07.70 05.80 999 1011.2  07.4 999.0 999.0 99.0
85 09 23 01 349 05.7 07.6 01.40 07.70 05.60 999 1011.3  07.3 999.0 999.0 99.0
85 09 23 02 342 04.9 05.9 01.50 07.70 05.90 999 1011.5  07.3 999.0 999.0 99.0
85 09 23 03 339 05.2 06.7 01.50 07.70 05.90 999 1011.5  07.3 999.0 999.0 99.0
85 09 23 04 342 04.5 05.6 01.20 07.10 05.50 999 1011.7  07.2 999.0 999.0 99.0
85 09 23 05 359 03.8 06.1 01.30 07.70 05.70 999 1012.1  06.8 999.0 999.0 99.0
85 09 23 06 351 04.2 05.7 01.20 07.10 05.60 999 1012.7  06.2 999.0 999.0 99.0
85 09 23 07 309 01.7 02.3 01.20 07.10 05.60 999 1013.1  06.5 999.0 999.0 99.0
85 09 23 10 043 03.3 04.3 01.10 06.30 05.60 999 1014.2  06.9 999.0 999.0 99.0
85 09 23 11 347 03.7 04.6 01.10 07.10 05.50 999 1014.5  06.7 999.0 999.0 99.0
85 09 23 12 091 00.1 00.7 01.20 06.70 05.50 999 1014.8  06.1 999.0 999.0 99.0
85 09 23 13 034 00.9 02.1 01.20 07.10 05.70 999 1015.0  06.5 999.0 999.0 99.0
85 09 23 14 132 00.8 01.7 01.40 07.70 06.10 999 1015.2  06.5 999.0 999.0 99.0
85 09 23 15 195 00.3 01.1 01.30 07.70 06.30 999 1015.2  06.6 999.0 999.0 99.0
85 09 23 16 278 01.1 03.1 01.40 07.70 06.30 999 1015.4  06.6 999.0 999.0 99.0
85 09 23 17 268 03.9 04.9 01.40 07.70 06.40 999 1015.4  06.6 999.0 999.0 99.0
85 09 23 18 298 00.8 01.7 01.30 07.70 06.30 999 1015.8  06.7 999.0 999.0 99.0
85 09 23 19 001 00.0 00.2 01.30 07.10 06.30 999 1016.2  06.9 999.0 999.0 99.0
85 09 23 20 271 00.1 00.6 01.30 08.30 06.50 999 1016.4  06.9 999.0 999.0 99.0
85 09 23 21 206 01.0 01.7 01.30 07.70 06.40 999 1016.6  07.8 999.0 999.0 99.0
85 09 23 22 155 02.1 03.1 01.20 07.70 06.50 999 1016.6  07.2 999.0 999.0 99.0
85 09 23 23 193 02.0 02.8 01.30 08.30 06.60 999 1016.6  07.4 999.0 999.0 99.0
85 09 24 00 191 02.9 03.6 01.40 08.30 06.70 999 1016.5  07.5 999.0 999.0 99.0
85 09 24 01 180 03.8 05.3 01.50 08.30 06.90 999 1016.1  07.7 999.0 999.0 99.0
85 09 24 02 166 04.9 05.7 01.40 07.70 06.90 999 1015.6  07.8 999.0 999.0 99.0
85 09 24 03 162 05.0 06.1 01.20 08.30 06.60 999 1015.1  07.9 999.0 999.0 99.0
85 09 24 04 157 06.9 08.1 01.20 07.70 06.30 999 1014.7  07.8 999.0 999.0 99.0
85 09 24 05 154 07.8 09.4 01.20 07.70 05.60 999 1014.4  07.9 999.0 999.0 99.0
85 09 24 06 157 07.7 09.4 01.20 07.70 05.20 999 1014.2  07.9 999.0 999.0 99.0
85 09 24 07 144 08.2 09.9 01.20 07.70 04.80 999 1013.7  08.0 999.0 999.0 99.0
85 09 24 10 164 08.8 10.8 01.40 04.80 04.90 999 1012.4  08.2 999.0 999.0 99.0
85 09 24 11 158 10.5 13.1 01.60 05.30 04.80 999 1011.7  08.3 999.0 999.0 99.0
85 09 24 12 154 10.3 12.9 01.70 05.60 04.90 999 1011.1  08.2 999.0 999.0 99.0
85 09 24 13 144 10.2 12.4 01.70 05.60 04.90 999 1010.4  08.1 999.0 999.0 99.0
85 09 24 14 157 10.1 12.4 01.90 05.90 05.10 999 1009.7  08.2 999.0 999.0 99.0
85 09 24 15 150 11.0 13.8 02.00 06.30 05.20 999 1008.6  07.9 999.0 999.0 99.0
85 09 24 16 146 11.9 15.0 02.20 06.30 05.40 999 1007.6  07.9 999.0 999.0 99.0
85 09 24 17 138 12.3 15.7 02.50 06.70 05.50 999 1006.8  07.8 999.0 999.0 99.0
85 09 24 18 136 12.7 17.2 02.70 07.10 05.60 999 1006.3  08.0 999.0 999.0 99.0
85 09 24 19 145 12.5 16.6 02.70 07.10 05.70 999 1006.0  07.6 999.0 999.0 99.0
85 09 24 20 136 12.6 17.2 03.10 07.70 06.20 999 1005.2  07.8 999.0 999.0 99.0
85 09 24 21 132 12.7 18.0 03.20 07.70 06.30 999 1004.4  08.1 999.0 999.0 99.0
85 09 24 22 132 12.2 17.7 03.40 08.30 06.40 999 1003.7  08.1 999.0 999.0 99.0
85 09 24 23 133 13.2 18.2 03.50 08.30 06.50 999 1002.7  08.6 999.0 999.0 99.0
85 09 25 00 131 13.1 17.8 03.70 08.30 06.90 999 1001.4  08.1 999.0 999.0 99.0
85 09 25 01 125 14.0 20.0 03.90 09.10 06.90 999 1000.1  08.0 999.0 999.0 99.0
85 09 25 02 126 13.6 19.2 04.40 10.00 07.30 999 0999.1  08.2 999.0 999.0 99.0
85 09 25 03 129 12.6 17.2 05.00 09.10 07.50 999 0998.1  08.2 999.0 999.0 99.0
85 09 25 04 129 13.4 19.0 04.90 10.00 07.60 999 0997.1  08.0 999.0 999.0 99.0
85 09 25 05 124 13.7 19.7 04.90 10.00 07.60 999 0996.2  08.0 999.0 999.0 99.0
85 09 25 06 124 13.9 19.8 05.30 10.00 08.00 999 0995.5  08.0 999.0 999.0 99.0
85 09 25 07 126 13.8 21.1 05.70 11.10 08.30 999 0995.0  07.8 999.0 999.0 99.0
85 09 25 10 114 13.9 21.1 05.20 11.10 08.10 999 0992.7  07.5 999.0 999.0 99.0
85 09 25 11 115 13.9 20.2 06.20 11.10 08.80 999 0991.9  07.7 999.0 999.0 99.0
85 09 25 12 110 13.1 18.7 05.70 11.10 08.60 999 0991.4  07.9 999.0 999.0 99.0
